structure,group,id,date,side,time,area,perimeter,major,minor,feret,minFeret
pupil,male,male2,,only,20,20568,562.468,185.752,140.984,193.08,146.155
pupil,male,male2,,only,30,23002,569.423,196.411,149.111,204.843,150.542
pupil,male,male2,,only,40,27490,629.719,208.88,167.567,209.01,168.553
pupil,male,male2,,only,45,24749,596.041,196.743,160.165,204.01,161.267
pupil,male,male2,,only,50,24449,612.589,196.24,158.629,196.987,159.719
pupil,male,male3,30_08_23,only,0,1495,151.938,46.69,40.769,47.17,40.806
pupil,male,male3,30_08_23,only,5,1621,168.977,50.455,40.906,51.865,40.0
pupil,male,male3,30_08_23,only,10,1210,140.741,43.085,35.758,45.591,37.0
pupil,male,male3,30_08_23,only,20,2593,207.954,62.672,52.679,62.936,51.0
pupil,male,male3,30_08_23,only,30,2593,207.954,62.672,52.679,62.936,51.0
pupil,male,male3,30_08_23,only,40,3675,237.248,75.46,62.009,76.968,62.0
pupil,male,male3,30_08_23,only,45,4000,247.525,82.82,61.494,84.694,62.453
pupil,male,male3,30_08_23,only,50,2692,207.288,64.292,53.312,66.206,53.849
