logI,ID,id,Recorder,Group,EyePosition,Response
-3.3,ag03,v_m12,AG,male,anterior,0
-3.6,ag03,v_m12,AG,male,anterior,0
-4.3,ag03,v_m12,AG,male,anterior,0
-4.6,ag03,v_m12,AG,male,anterior,0
2.4,ag 02,v_f1,AG,female,posterior,1
1.7,ag 02,v_f1,AG,female,posterior,0.893457944
1.4,ag 02,v_f1,AG,female,posterior,0.856074766
0.7,ag 02,v_f1,AG,female,posterior,0.601869159
0.4,ag 02,v_f1,AG,female,posterior,0.386915888
-0.3,ag 02,v_f1,AG,female,posterior,0.177570093
-0.6,ag 02,v_f1,AG,female,posterior,0.076635514
-1.3,ag 02,v_f1,AG,female,posterior,0.013084112
-1.6,ag 02,v_f1,AG,female,posterior,0.011214953
-2.3,ag 02,v_f1,AG,female,posterior,0
-2.6,ag 02,v_f1,AG,female,posterior,0
-3.3,ag 02,v_f1,AG,female,posterior,0
-3.6,ag 02,v_f1,AG,female,posterior,0
2.4,ag 03,v_f2,AG,female,posterior,0.932835821
1.7,ag 03,v_f2,AG,female,posterior,0.985074627
1.4,ag 03,v_f2,AG,female,posterior,1
0.7,ag 03,v_f2,AG,female,posterior,0.940298507
0.4,ag 03,v_f2,AG,female,posterior,0.768656716
-0.3,ag 03,v_f2,AG,female,posterior,0.406716418
-0.6,ag 03,v_f2,AG,female,posterior,0.212686567
-1.3,ag 03,v_f2,AG,female,posterior,0.093283582
-1.6,ag 03,v_f2,AG,female,posterior,0.059701493
-2.3,ag 03,v_f2,AG,female,posterior,0.014925373
-2.6,ag 03,v_f2,AG,female,posterior,0
-3.3,ag 03,v_f2,AG,female,posterior,0
-3.6,ag 03,v_f2,AG,female,posterior,0
-4.3,ag 03,v_f2,AG,female,posterior,0
2.4,JK01,v_f3,JK,female,posterior,0.685714286
1.7,JK01,v_f3,JK,female,posterior,0.871428571
1.4,JK01,v_f3,JK,female,posterior,0.828571429
0.7,JK01,v_f3,JK,female,posterior,1
0.4,JK01,v_f3,JK,female,posterior,0.985714286
-0.3,JK01,v_f3,JK,female,posterior,0.885714286
-0.6,JK01,v_f3,JK,female,posterior,0.728571429
-1.3,JK01,v_f3,JK,female,posterior,0.328571429
-1.6,JK01,v_f3,JK,female,posterior,0.242857143
-2.3,JK01,v_f3,JK,female,posterior,0.057142857
-2.6,JK01,v_f3,JK,female,posterior,0.042857143
-3.3,JK01,v_f3,JK,female,posterior,0.028571429
-3.6,JK01,v_f3,JK,female,posterior,0
2.4,ag 01,v_f4,AG,female,anterior,0.672727273
1.7,ag 01,v_f4,AG,female,anterior,0.860606061
1.4,ag 01,v_f4,AG,female,anterior,0.890909091
0.7,ag 01,v_f4,AG,female,anterior,1
0.4,ag 01,v_f4,AG,female,anterior,1
-0.3,ag 01,v_f4,AG,female,anterior,0.921212121
-0.6,ag 01,v_f4,AG,female,anterior,0.745454545
-1.3,ag 01,v_f4,AG,female,anterior,0.36969697
-1.6,ag 01,v_f4,AG,female,anterior,0.242424242
-2.3,ag 01,v_f4,AG,female,anterior,0.060606061
-2.6,ag 01,v_f4,AG,female,anterior,0.03030303
-3.3,ag 01,v_f4,AG,female,anterior,0.012121212
-3.6,ag 01,v_f4,AG,female,anterior,0
-4.3,ag 01,v_f4,AG,female,anterior,0
-4.6,ag 01,v_f4,AG,female,anterior,0
2.4,ag 05,v_f5,AG,female,posterior,0.950892857
1.7,ag 05,v_f5,AG,female,posterior,0.96875
1.4,ag 05,v_f5,AG,female,posterior,1
0.7,ag 05,v_f5,AG,female,posterior,1
0.4,ag 05,v_f5,AG,female,posterior,0.979910714
-0.3,ag 05,v_f5,AG,female,posterior,0.808035714
-0.6,ag 05,v_f5,AG,female,posterior,0.573660714
-1.3,ag 05,v_f5,AG,female,posterior,0.234375
-1.6,ag 05,v_f5,AG,female,posterior,0.178571429
-2.3,ag 05,v_f5,AG,female,posterior,0.049107143
-2.6,ag 05,v_f5,AG,female,posterior,0.022321429
-3.3,ag 05,v_f5,AG,female,posterior,0.008928571
-3.6,ag 05,v_f5,AG,female,posterior,0.006696429
-4.3,ag 05,v_f5,AG,female,posterior,0.004464286
-4.6,ag 05,v_f5,AG,female,posterior,0
2.4,ag 04,v_f6,AG,female,anterior,0.795180723
1.7,ag 04,v_f6,AG,female,anterior,0.819277108
1.4,ag 04,v_f6,AG,female,anterior,0.939759036
0.7,ag 04,v_f6,AG,female,anterior,0.951807229
0.4,ag 04,v_f6,AG,female,anterior,1
-0.3,ag 04,v_f6,AG,female,anterior,0.698795181
-0.6,ag 04,v_f6,AG,female,anterior,0.240963855
-1.3,ag 04,v_f6,AG,female,anterior,0.144578313
-1.6,ag 04,v_f6,AG,female,anterior,0.024096386
-2.3,ag 04,v_f6,AG,female,anterior,0
-2.6,ag 04,v_f6,AG,female,anterior,0
-3.3,ag 04,v_f6,AG,female,anterior,0
-3.6,ag 04,v_f6,AG,female,anterior,0
-4.3,ag 04,v_f6,AG,female,anterior,0
-4.6,ag 04,v_f6,AG,female,anterior,0
2.4,ag 05,v_f7,AG,female,anterior,0.977443609
1.7,ag 05,v_f7,AG,female,anterior,1
1.4,ag 05,v_f7,AG,female,anterior,1
0.7,ag 05,v_f7,AG,female,anterior,0.879699248
0.4,ag 05,v_f7,AG,female,anterior,0.714285714
-0.3,ag 05,v_f7,AG,female,anterior,0.646616541
-0.6,ag 05,v_f7,AG,female,anterior,0.503759398
-1.3,ag 05,v_f7,AG,female,anterior,0.22556391
-1.6,ag 05,v_f7,AG,female,anterior,0.172932331
-2.3,ag 05,v_f7,AG,female,anterior,0.052631579
-2.6,ag 05,v_f7,AG,female,anterior,0.022556391
-3.3,ag 05,v_f7,AG,female,anterior,0
-3.6,ag 05,v_f7,AG,female,anterior,0
-4.3,ag 05,v_f7,AG,female,anterior,0
-4.6,ag 05,v_f7,AG,female,anterior,0
